userName;score;at;content;CaseFolding;Cleaning;Tokenizing;Formalisasi;WithoutStopwords;Stemming;Label
Pengguna Google;5;2026-01-07 05:21:43;"pelayanan sangat bagus;";"pelayanan sangat bagus;";pelayanan sangat bagus;['pelayanan', 'sangat', 'bagus'];['pelayanan', 'sangat', 'bagus'];['pelayanan', 'bagus'];['layan', 'bagus'];Positif
Rijal Mulyana;5;2025-12-21 01:29:23;"dg adanya apk mobile jkn jd mempermudah.salam keluarga sehat 🫶hatur nuhun;";"dg adanya apk mobile jkn jd mempermudah.salam keluarga sehat 🫶hatur nuhun;";dg adanya apk mobile jkn jd mempermudah salam keluarga sehat hatur nuhun;['dg', 'adanya', 'apk', 'mobile', 'jkn', 'jd', 'mempermudah', 'salam', 'keluarga', 'sehat', 'hatur', 'nuhun'];['dg', 'adanya', 'apk', 'mobile', 'jkn', 'jadi', 'mempermudah', 'salam', 'keluarga', 'sehat', 'hatur', 'nuhun'];['apk', 'mobile', 'jkn', 'jd', 'mempermudah', 'salam', 'keluarga', 'sehat', 'hatur', 'nuhun'];['apk', 'mobile', 'jkn', 'jd', 'mudah', 'salam', 'keluarga', 'sehat', 'hatur', 'nuhun'];Positif
Pengguna Google;5;2026-01-22 08:00:44;"mempermudah urusan bpjs;";"mempermudah urusan bpjs;";mempermudah urusan bpjs;['mempermudah', 'urusan', 'bpjs'];['mempermudah', 'urusan', 'bpjs'];['mempermudah', 'urusan', 'bpjs'];['mudah', 'urus', 'bpjs'];Positif
Pengguna Google;5;2026-01-14 10:52:25;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Fengky Nugraha;5;2025-12-22 13:01:54;"mantap sangat membantu;";"mantap sangat membantu;";mantap sangat membantu;['mantap', 'sangat', 'membantu'];['mantap', 'sangat', 'membantu'];['mantap', 'membantu'];['mantap', 'bantu'];Positif
Pengguna Google;1;2026-01-13 03:13:11;"Susah login;";"susah login;";Susah login;['Susah', 'login'];['Susah', 'login'];['Susah', 'login'];['susah', 'login'];Negatif
Hendra Sastra;5;2025-12-19 23:56:13;"bagus tidak ribet;";"bagus tidak ribet;";bagus tidak ribet;['bagus', 'tidak', 'ribet'];['bagus', 'tidak', 'ribet'];['bagus', 'ribet'];['bagus', 'ribet'];Negatif
Pengguna Google;5;2026-01-10 03:18:42;"mudah digunakan dan membantu kelancaran pendaftaran berobat;";"mudah digunakan dan membantu kelancaran pendaftaran berobat;";mudah digunakan dan membantu kelancaran pendaftaran berobat;['mudah', 'digunakan', 'dan', 'membantu', 'kelancaran', 'pendaftaran', 'berobat'];['mudah', 'digunakan', 'dan', 'membantu', 'kelancaran', 'pendaftaran', 'berobat'];['mudah', 'membantu', 'kelancaran', 'pendaftaran', 'berobat'];['mudah', 'bantu', 'lancar', 'daftar', 'obat'];Positif
Pengguna Google;1;2026-01-05 02:57:19;"banyak eror nya aplikasi pemerintah mah;";"banyak eror nya aplikasi pemerintah mah;";banyak eror nya aplikasi pemerintah mah;['banyak', 'eror', 'nya', 'aplikasi', 'pemerintah', 'mah'];['banyak', 'eror', 'nya', 'aplikasi', 'pemerintah', 'mah'];['eror', 'nya', 'aplikasi', 'pemerintah', 'mah'];['eror', 'nya', 'aplikasi', 'perintah', 'mah'];Netral
Miayam 69;5;2025-12-22 06:48:23;"keren;";"keren;";keren;['keren'];['keren'];['keren'];['keren'];Positif
Pengguna Google;5;2025-12-31 01:53:14;"bagus pelayanan cepat jkn nya jelas;";"bagus pelayanan cepat jkn nya jelas;";bagus pelayanan cepat jkn nya jelas;['bagus', 'pelayanan', 'cepat', 'jkn', 'nya', 'jelas'];['bagus', 'pelayanan', 'cepat', 'jkn', 'nya', 'jelas'];['bagus', 'pelayanan', 'cepat', 'jkn', 'nya'];['bagus', 'layan', 'cepat', 'jkn', 'nya'];Positif
Pengguna Google;1;2026-01-07 08:07:43;"aplikasi dengan pelayanan buruk. kirim kode verifikasi aja error terus;";"aplikasi dengan pelayanan buruk. kirim kode verifikasi aja error terus;";aplikasi dengan pelayanan buruk kirim kode verifikasi aja error terus;['aplikasi', 'dengan', 'pelayanan', 'buruk', 'kirim', 'kode', 'verifikasi', 'aja', 'error', 'terus'];['aplikasi', 'dengan', 'pelayanan', 'buruk', 'kirim', 'kode', 'verifikasi', 'saja', 'error', 'terus'];['aplikasi', 'pelayanan', 'buruk', 'kirim', 'kode', 'verifikasi', 'aja', 'error'];['aplikasi', 'layan', 'buruk', 'kirim', 'kode', 'verifikasi', 'aja', 'error'];Negatif
Pengguna Google;5;2025-12-30 12:44:19;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;5;2026-01-06 04:03:39;"Sangat membantu;";"sangat membantu;";Sangat membantu;['Sangat', 'membantu'];['Sangat', 'membantu'];['Sangat', 'membantu'];['sangat', 'bantu'];Positif
Pengguna Google;4;2026-01-09 07:54:10;"ramah senang tenang nyaman komunikatif sumringah itu bagian obat yang sangat penting;";"ramah senang tenang nyaman komunikatif sumringah itu bagian obat yang sangat penting;";ramah senang tenang nyaman komunikatif sumringah itu bagian obat yang sangat penting;['ramah', 'senang', 'tenang', 'nyaman', 'komunikatif', 'sumringah', 'itu', 'bagian', 'obat', 'yang', 'sangat', 'penting'];['ramah', 'senang', 'tenang', 'nyaman', 'komunikatif', 'sumringah', 'itu', 'bagian', 'obat', 'yang', 'sangat', 'penting'];['ramah', 'senang', 'tenang', 'nyaman', 'komunikatif', 'sumringah', 'obat'];['ramah', 'senang', 'tenang', 'nyaman', 'komunikatif', 'sumringah', 'obat'];Netral
pattono priyatmadi;5;2025-12-26 08:40:12;"top banget;";"top banget;";top banget;['top', 'banget'];['top', 'sangat'];['top', 'banget'];['top', 'banget'];Netral
Pengguna Google;5;2026-01-04 09:08:50;"good;";"good;";good;['good'];['good'];['good'];['good'];Netral
Pengguna Google;3;2026-01-11 00:22:21;"gimana Cara screen shot jkn ini gk bisa terus;";"gimana cara screen shot jkn ini gk bisa terus;";gimana Cara screen shot jkn ini gk bisa terus;['gimana', 'Cara', 'screen', 'shot', 'jkn', 'ini', 'gk', 'bisa', 'terus'];['gimana', 'Cara', 'screen', 'shot', 'jkn', 'ini', 'gk', 'bisa', 'terus'];['gimana', 'Cara', 'screen', 'shot', 'jkn', 'gk'];['gimana', 'cara', 'screen', 'shot', 'jkn', 'gk'];Netral
BUDI SUSANTO;5;2025-12-23 14:00:09;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-20 06:21:39;"GK ribet;";"gk ribet;";GK ribet;['GK', 'ribet'];['GK', 'ribet'];['GK', 'ribet'];['gk', 'ribet'];Negatif
Usin Ardi;5;2025-12-22 08:40:16;"keren nih membantu;";"keren nih membantu;";keren nih membantu;['keren', 'nih', 'membantu'];['keren', 'nih', 'membantu'];['keren', 'nih', 'membantu'];['keren', 'nih', 'bantu'];Positif
MHD. RIZKI ABDILLAH. S;5;2025-12-20 15:58:36;"Bagus mudah di pakai;";"bagus mudah di pakai;";Bagus mudah di pakai;['Bagus', 'mudah', 'di', 'pakai'];['Bagus', 'mudah', 'di', 'pakai'];['Bagus', 'mudah', 'pakai'];['bagus', 'mudah', 'pakai'];Positif
Pengguna Google;4;2026-01-02 03:42:08;"oke;";"oke;";oke;['oke'];['oke'];['oke'];['oke'];Positif
Pengguna Google;5;2025-12-30 01:00:34;"bagus berguna sekali;";"bagus berguna sekali;";bagus berguna sekali;['bagus', 'berguna', 'sekali'];['bagus', 'berguna', 'sekali'];['bagus', 'berguna'];['bagus', 'guna'];Positif
Pengguna Google;1;2026-01-04 02:04:34;"sumpahh loginnya susah gmn siii;";"sumpahh loginnya susah gmn siii;";sumpahh loginnya susah gmn si;['sumpahh', 'loginnya', 'susah', 'gmn', 'si'];['sumpahh', 'loginnya', 'susah', 'bagaimana', 'si'];['sumpahh', 'loginnya', 'susah', 'gmn', 'si'];['sumpahh', 'loginnya', 'susah', 'gmn', 'si'];Negatif
Pengguna Google;5;2026-01-16 11:39:43;"good;";"good;";good;['good'];['good'];['good'];['good'];Netral
Pengguna Google;5;2026-01-20 02:33:46;"memuaskan;";"memuaskan;";memuaskan;['memuaskan'];['memuaskan'];['memuaskan'];['muas'];Netral
Pengguna Google;1;2026-01-14 22:32:25;"data rujukan tidak di temukan (eror);";"data rujukan tidak di temukan (eror);";data rujukan tidak di temukan eror;['data', 'rujukan', 'tidak', 'di', 'temukan', 'eror'];['data', 'rujukan', 'tidak', 'di', 'temukan', 'eror'];['data', 'rujukan', 'temukan', 'eror'];['data', 'rujuk', 'temu', 'eror'];Negatif
Pengguna Google;5;2026-01-21 01:51:04;"oke keren apk nya tambah maju;";"oke keren apk nya tambah maju;";oke keren apk nya tambah maju;['oke', 'keren', 'apk', 'nya', 'tambah', 'maju'];['oke', 'keren', 'apk', 'nya', 'tambah', 'maju'];['oke', 'keren', 'apk', 'nya', 'maju'];['oke', 'keren', 'apk', 'nya', 'maju'];Positif
Pengguna Google;1;2026-01-12 01:34:02;"sangat buruk;";"sangat buruk;";sangat buruk;['sangat', 'buruk'];['sangat', 'buruk'];['buruk'];['buruk'];Negatif
